name,correlation_coefficient,normalized_standard_deviation,bias,normalized_root_mean_square_deviation
HOT Day,0.9044089704911034,0.7779040722342752,0.0324320552782076,0.44502573338874835
HOT Night,0.9659660149608702,1.075715020633574,0.04371591687741355,0.28098843781686755
Original Day,0.6271951939522783,1.1716095758326126,0.8313133290850665,0.9502700710226071
Original Night,0.6602819955856892,1.0050060814366548,-1.7119124282142724,0.826354876352263
